Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,96.000000,96.000000,96.000000,96.000000,95.156235,200
2019-08-06,96.000000,96.000000,96.000000,96.000000,95.156235,100
2019-08-07,100.000000,100.000000,100.000000,100.000000,99.121078,100
2019-08-08,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-09,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-12,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-13,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-14,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-15,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-16,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-19,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-20,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-21,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-22,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-23,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-26,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-27,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-28,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-29,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-08-30,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-02,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-03,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-04,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-05,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-06,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-09,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-10,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-11,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-12,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-13,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-16,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-17,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-18,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-19,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-20,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-23,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-24,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-25,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-26,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-27,100.000000,100.000000,100.000000,100.000000,99.121078,0
2019-09-30,90.000000,90.000000,90.000000,90.000000,89.208969,100
2019-10-01,90.000000,90.000000,90.000000,90.000000,89.208969,0
2019-10-02,90.000000,90.000000,90.000000,90.000000,89.208969,0
2019-10-03,89.989998,89.989998,89.989998,89.989998,89.199051,100
2019-10-04,89.989998,89.989998,89.989998,89.989998,89.199051,0
2019-10-07,89.989998,89.989998,89.989998,89.989998,89.199051,0
2019-10-08,89.989998,89.989998,89.989998,89.989998,89.199051,0
2019-10-09,89.989998,89.989998,89.989998,89.989998,89.199051,100
2019-10-10,81.500000,81.500000,81.500000,81.500000,80.783676,100
2019-10-11,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-14,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-15,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-16,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-17,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-18,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-21,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-22,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-23,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-24,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-25,81.500000,81.500000,81.500000,81.500000,80.783676,100
2019-10-28,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-29,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-30,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-10-31,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-11-01,81.500000,81.500000,81.500000,81.500000,80.783676,0
2019-11-04,89.989998,89.989998,89.989998,89.989998,89.199051,200
2019-11-05,89.989998,89.989998,89.989998,89.989998,89.199051,0
