Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,33.500000,34.200001,33.209999,33.660000,33.660000,4594700
2019-08-06,33.630001,34.849998,33.509998,34.560001,34.560001,4191000
2019-08-07,34.560001,34.610001,33.549999,34.610001,34.610001,3010700
2019-08-08,34.820000,36.490002,34.779999,36.320000,36.320000,7224100
2019-08-09,39.200001,39.599998,38.049999,38.160000,38.160000,15901100
2019-08-12,37.520000,38.840000,37.209999,38.630001,38.630001,8094500
2019-08-13,38.660000,39.299999,38.430000,39.000000,39.000000,8656100
2019-08-14,38.990002,39.259998,37.840000,38.000000,38.000000,5110600
2019-08-15,38.360001,38.930000,37.590000,38.160000,38.160000,5659900
2019-08-16,38.490002,39.180000,38.299999,38.570000,38.570000,7055800
2019-08-19,38.900002,39.230000,37.860001,38.259998,38.259998,4474700
2019-08-20,38.299999,38.380001,37.590000,37.889999,37.889999,3803200
2019-08-21,37.990002,38.450001,36.860001,38.360001,38.360001,7155700
2019-08-22,38.500000,40.209999,38.500000,39.560001,39.560001,10941300
2019-08-23,39.150002,39.430000,37.880001,38.590000,38.590000,7629900
2019-08-26,39.000000,39.270000,37.610001,37.880001,37.880001,3220600
2019-08-27,37.959999,38.349998,37.369999,38.009998,38.009998,3808900
2019-08-28,37.799999,39.090000,37.410000,39.090000,39.090000,5172100
2019-08-29,39.200001,39.389999,38.380001,38.869999,38.869999,4924900
2019-08-30,39.060001,39.500000,37.560001,38.139999,38.139999,8008100
2019-09-02,38.139999,38.869999,37.959999,38.410000,38.410000,2967000
2019-09-03,38.389999,38.590000,37.520000,37.720001,37.720001,3541900
2019-09-04,38.299999,38.599998,37.799999,37.889999,37.889999,4737900
2019-09-05,38.110001,38.470001,37.650002,38.060001,38.060001,3816800
2019-09-06,38.200001,38.430000,36.910000,37.380001,37.380001,3921400
2019-09-09,38.060001,38.660000,36.619999,36.950001,36.950001,10656200
2019-09-10,37.299999,38.250000,36.270000,37.900002,37.900002,8983100
2019-09-11,37.970001,38.669998,37.900002,38.450001,38.450001,7400400
2019-09-12,38.730000,38.840000,37.820000,38.029999,38.029999,3794400
2019-09-13,38.080002,38.320000,37.529999,38.000000,38.000000,5569900
2019-09-16,38.430000,38.459999,37.410000,38.099998,38.099998,5035100
2019-09-17,37.900002,38.240002,37.599998,38.160000,38.160000,3738800
2019-09-18,38.000000,39.049999,37.919998,38.389999,38.389999,6453500
2019-09-19,38.650002,38.799999,37.720001,37.720001,37.720001,4459600
2019-09-20,37.970001,38.480000,37.740002,38.470001,38.470001,8143400
2019-09-23,38.380001,38.939999,38.189999,38.750000,38.750000,3182600
2019-09-24,38.950001,40.470001,38.849998,39.840000,39.840000,10753400
2019-09-25,39.900002,41.060001,39.619999,40.500000,40.500000,7379500
2019-09-26,40.700001,40.700001,38.950001,39.919998,39.919998,10708200
2019-09-27,39.599998,39.599998,38.400002,38.700001,38.700001,5069600
2019-09-30,38.619999,38.750000,37.880001,38.200001,38.200001,6612600
2019-10-01,37.650002,38.230000,37.500000,37.990002,37.990002,6371000
2019-10-02,37.779999,37.820000,37.090000,37.540001,37.540001,6359800
2019-10-03,37.689999,37.880001,36.410000,36.509998,36.509998,5502200
2019-10-04,36.689999,37.619999,36.020000,37.380001,37.380001,4847700
2019-10-07,37.200001,37.830002,36.560001,36.740002,36.740002,3197600
2019-10-08,36.560001,37.910000,36.560001,37.209999,37.209999,5096300
